time, %usr, %sys, %iowait, %irq, %soft, %idle
01:22:56, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:57, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:58, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:22:59, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:00, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:01, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:02, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:03, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:04, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:05, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:06, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:07, 0.00, 0.99, 0.00, 0.00, 0.00, 99.01
01:23:08, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:09, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:10, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:11, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:12, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:13, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:14, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:15, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:16, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:17, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:18, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:19, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
01:23:20, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
