,basic dma-rand,basic dma-seq,basic thread4-rand,basic thread4-seq
0,74.0,103.0,104,105.0
1,86.5,101.0,101,102.0
2,91.0,100.0,101,101.0
3,93.2,100.0,100,101.0
4,94.8,100.0,100,100.0
5,95.5,100.0,100,100.0
6,96.1,100.0,100,100.0
7,96.6,100.0,100,100.0
8,97.0,100.0,100,100.0
9,97.3,103.0,117,117.0
10,106.0,112.0,124,125.0
11,114.0,119.0,130,131.0
12,120.0,125.0,136,136.0
13,126.0,131.0,140,141.0
14,131.0,135.0,144,145.0
15,135.0,139.0,148,148.0
16,139.0,143.0,151,151.0
17,143.0,146.0,154,154.0
18,146.0,149.0,156,156.0
19,148.0,151.0,158,159.0
20,151.0,154.0,160,161.0
21,153.0,156.0,162,162.0
22,155.0,158.0,163,164.0
23,157.0,160.0,165,166.0
24,159.0,161.0,166,167.0
25,160.0,,168,168.0
26,162.0,,169,169.0
27,163.0,,170,170.0
28,164.0,,171,171.0
29,166.0,,172,172.0
30,167.0,,173,173.0
31,168.0,,174,174.0
32,169.0,,175,175.0
33,170.0,,175,176.0
34,170.0,,176,176.0
35,171.0,,177,177.0
36,172.0,,177,178.0
37,173.0,,178,178.0
38,174.0,,178,179.0
39,174.0,,179,179.0
40,175.0,,179,180.0
41,175.0,,180,180.0
42,176.0,,180,181.0
43,177.0,,181,181.0
44,177.0,,181,182.0
45,178.0,,182,182.0
46,178.0,,182,182.0
47,178.0,,182,183.0
48,179.0,,183,183.0
49,179.0,,183,183.0
50,180.0,,183,184.0
51,180.0,,184,184.0
52,181.0,,184,184.0
53,181.0,,184,185.0
54,181.0,,185,185.0
55,182.0,,185,185.0
56,182.0,,185,185.0
57,182.0,,185,186.0
58,183.0,,186,186.0
59,183.0,,186,186.0
60,183.0,,186,186.0
61,183.0,,183,187.0
62,184.0,,184,187.0
63,184.0,,184,187.0
64,184.0,,184,187.0
65,184.0,,184,187.0
66,185.0,,185,188.0
67,185.0,,185,188.0
68,185.0,,185,188.0
69,185.0,,185,188.0
70,185.0,,185,188.0
71,186.0,,186,189.0
72,186.0,,186,189.0
73,186.0,,186,189.0
74,186.0,,186,189.0
75,186.0,,186,189.0
76,187.0,,186,189.0
77,187.0,,187,189.0
78,187.0,,187,190.0
79,187.0,,187,190.0
80,187.0,,187,190.0
81,187.0,,187,190.0
82,188.0,,187,190.0
83,188.0,,188,190.0
84,188.0,,188,190.0
85,188.0,,188,190.0
86,188.0,,188,191.0
87,188.0,,188,191.0
88,188.0,,188,191.0
89,189.0,,188,191.0
90,189.0,,189,191.0
91,189.0,,189,191.0
92,189.0,,189,191.0
93,189.0,,189,191.0
94,189.0,,189,191.0
95,189.0,,189,191.0
96,189.0,,189,191.0
97,189.0,,189,192.0
98,190.0,,189,192.0
99,190.0,,190,192.0
100,190.0,,190,192.0
101,190.0,,190,192.0
102,190.0,,190,192.0
103,190.0,,190,192.0
104,190.0,,190,192.0
105,190.0,,190,192.0
106,190.0,,190,192.0
107,190.0,,190,192.0
108,191.0,,190,192.0
109,191.0,,190,193.0
110,191.0,,191,193.0
111,191.0,,191,193.0
112,191.0,,191,193.0
113,191.0,,191,193.0
114,191.0,,191,193.0
115,191.0,,191,193.0
116,191.0,,191,193.0
117,191.0,,191,193.0
118,191.0,,191,193.0
119,191.0,,191,193.0
120,191.0,,191,193.0
121,192.0,,191,193.0
122,192.0,,191,193.0
123,192.0,,191,193.0
124,192.0,,192,193.0
125,192.0,,192,193.0
126,192.0,,192,194.0
127,192.0,,192,194.0
128,192.0,,192,194.0
129,192.0,,192,194.0
130,192.0,,192,194.0
131,192.0,,192,194.0
132,192.0,,192,194.0
133,192.0,,192,194.0
134,192.0,,192,194.0
135,192.0,,192,194.0
136,192.0,,192,194.0
137,193.0,,192,194.0
138,193.0,,192,194.0
139,193.0,,192,194.0
140,193.0,,192,194.0
141,193.0,,193,194.0
142,193.0,,193,194.0
143,193.0,,193,194.0
144,193.0,,193,194.0
145,193.0,,193,194.0
146,193.0,,193,194.0
147,193.0,,193,194.0
148,193.0,,193,194.0
149,193.0,,193,195.0
150,193.0,,193,195.0
151,193.0,,193,195.0
152,193.0,,193,195.0
153,193.0,,193,195.0
154,193.0,,193,195.0
155,193.0,,193,195.0
156,193.0,,193,195.0
157,193.0,,193,195.0
158,194.0,,193,195.0
159,194.0,,193,195.0
160,194.0,,193,195.0
161,194.0,,193,195.0
162,194.0,,193,195.0
163,194.0,,193,195.0
164,194.0,,194,195.0
165,194.0,,194,195.0
166,194.0,,194,195.0
167,194.0,,194,195.0
168,194.0,,194,195.0
169,194.0,,194,195.0
170,194.0,,194,195.0
171,194.0,,194,195.0
172,194.0,,194,195.0
173,194.0,,194,195.0
174,194.0,,194,195.0
175,194.0,,194,195.0
176,194.0,,194,195.0
177,194.0,,194,195.0
178,194.0,,194,195.0
179,194.0,,194,195.0
180,194.0,,194,196.0
181,194.0,,196,198.0
182,194.0,,198,199.0
183,193.0,,199,201.0
184,193.0,,201,202.0
185,192.0,,202,204.0
186,192.0,,204,205.0
187,,,205,207.0
188,,,206,
